ID,Q01_cognitivo->Tenho facilidade em concentrar-me quando realizo atividades em regime e-learning,Q01_cognitivo->Sinto-me confiante em explicar os 12 princípios da animação,Q01_cognitivo->Consigo identificar os princípios da animação em vídeos ou cenas animadas,Q01_cognitivo->Defini objetivos antes de iniciar o curso A2D.12,Q01_cognitivo->Tenho interesse em aprofundar os meus conhecimentos sobre animação 2D,Q01_cognitivo->Espero melhorar as minhas competências técnicas de animação com este curso,Q01_cognitivo->Acredito que este curso me poderá ser útil a nível académico ou profissional,Q01_cognitivo->Já utilizei software de animação 2D como o Adobe Animate ou similar,Q01_cognitivo->Consigo criar uma animação curta com base nos princípios de animação,Q01_cognitivo->Considero que o curso me ajudará a desenvolver competências relevantes para o futuro,Q01_cognitivo->O feedback imediato facilitou a compreensão dos meus erros,"Q02_ENV. EMOCIONAL->Gosto de aprender através de jogos, desafios ou vídeos interativos",Q02_ENV. EMOCIONAL->Estou motivado(a) para aplicar os conhecimentos adquiridos em projetos futuros,Q02_ENV. EMOCIONAL->Sinto-me motivado(a) para participar nas atividades propostas no curso,Q02_ENV. EMOCIONAL->Sinto entusiasmo ao aprender novas técnicas de animação 2D,Q02_ENV. EMOCIONAL->Sinto-me socialmente ligado(a) aos colegas durante o curso (mesmo que seja online),Q02_ENV. EMOCIONAL->Gostaria de realizar atividades semelhantes noutros módulos ou cursos,Q02_ENV. EMOCIONAL->Sinto-me orgulhoso(a) do meu progresso no curso de animação,Q02_ENV. EMOCIONAL->As atividades do curso são interessantes e envolventes,Q02_ENV. EMOCIONAL->Sinto-me criativo(a) e inspirado(a) durante os exercícios,Q02_ENV. EMOCIONAL->O ambiente de aprendizagem do curso é positivo e encorajador,Q03_satisfação->Estou globalmente satisfeito(a) com a experiência de aprendizagem neste curso,Q03_satisfação->O curso correspondeu às minhas expectativas iniciais,Q03_satisfação->A estrutura e os conteúdos do curso estavam bem organizados,Q03_satisfação->A carga de trabalho foi adequada ao tempo disponível,Q03_satisfação->Os recursos e materiais disponibilizados foram úteis para a aprendizagem,Q03_satisfação->A plataforma utilizada ( Moodle) funcionou de forma eficaz ao longo do curso,Q03_satisfação->O ritmo e os métodos de ensino foram adequados às minhas necessidades,Q03_satisfação->As atividades práticas foram relevantes para o desenvolvimento das minhas competências,Q03_satisfação->O Assistente virtual (Robot) foi útil para esclarecer as minhas dúvidas,Q03_satisfação->Recomendaria este curso a outros colegas ou profissionais interessados em animação 2D,Q04_Data de Nascimento,Q05_Concelho de residência->Aveiro,Q05_Concelho de residência->Beja,Q05_Concelho de residência->Braga,Q05_Concelho de residência->Bragança,Q05_Concelho de residência->Castelo Branco,Q05_Concelho de residência->Coimbra,Q05_Concelho de residência->Évora,Q05_Concelho de residência->Faro,Q05_Concelho de residência->Guarda,Q05_Concelho de residência->Leiria,Q05_Concelho de residência->Lisboa,Q05_Concelho de residência->Portalegre,Q05_Concelho de residência->Porto,Q05_Concelho de residência->Santarém,Q05_Concelho de residência->Setúbal,Q05_Concelho de residência->Viana do Castelo,Q05_Concelho de residência->Vila Real,Q05_Concelho de residência->Viseu,Q06_Nacionalidade,Q07_Nível de escolaridade completo->12º Ano,Q07_Nível de escolaridade completo->CTeSP,Q07_Nível de escolaridade completo->Licenciatura,Q07_Nível de escolaridade completo->Mestrado,Q07_Nível de escolaridade completo->Doutoramento,Q08_Deixa uma sugestão/comentário!
8.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Obrigada :)
11.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2005-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Portuguesa,1.0,0.0,0.0,0.0,0.0,Adorei!Obrigado pelo enriquecimento sobre a Animação 2D!
53.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1990-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Angolana,0.0,0.0,1.0,0.0,0.0,
54.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1999-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,portuguesa,0.0,0.0,1.0,0.0,0.0,ADOREI
56.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2006-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Portuguesa,1.0,0.0,0.0,0.0,0.0,
61.0,2.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,1979-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Portuguesa,0.0,0.0,0.0,1.0,0.0,Os vídeos podiam ter legendas.
,3.8333,4.3333,4.5,3.3333,4.6667,4.6667,4.6667,4.5,4.5,4.6667,4.8333,4.5,4.6667,4.6667,4.6667,4.1667,4.5,4.5,4.6667,4.6667,4.8333,4.6667,4.6667,5.0,5.0,5.0,4.8333,5.0,4.8333,4.3333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
